,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,y
0,80.0,7.0,38.0,19.0,10.0,1.0,23.0,12.0,21.0,14.0,0.0,21.0,12.0,10.0,0.0,8.0,30.0,12.0,4.0,15.0,9.0,10.0,7.0,15.0,17.0,11.0,21.0,0.0,8.0,31.0,19.0,44.0,39.0,39.0,43.0,18.0,4.0,83.0,15.0,25.0,13.0,10.0,40.0,0.0,6.0,8.0,13.0,1.0,16.0,12.0,2.0,13.0,6.0,34.0,47.0,0.0,25.0,23.0,15.0,12.0,2.0,29.0,2.0,16.0,14.0,28.0,29.0,2.0,14.0,0.0,6.0,11.0,17.0,3.0,1.0,7.0,22.0,5.0,4.0,11.0,12.0,7.0,13.0,10.0,34.0,20.0,13.0,18.0,25.0,5.0,22.0,55.0,14.0,22.0,36.0,19.0,24.0,24.0,34.0,8.0,40.0,18.0,8.0,21.0,3.0,14.0,6.0,3.0,19.0,1.0,28.0,16.0,1.0,29.0,9.0,25.0,10.0,20.0,6.0,0.0,79.0,28.0,22.0,18.0,7.0,0.0,10.0,23.0,22.0,4.0,19.0,10.0,44.0,12.0,17.0,1.0,7.0,5.0,20.0,16.0,5.0,24.0,8.0,9.0,11.0,39.0,11.0,14.0,4.0,11.0,1
1,2.0,0.0,9.0,8.0,0.0,0.0,0.0,1.0,5.0,11.0,0.0,7.0,5.0,1.0,0.0,1.0,10.0,2.0,4.0,55.0,10.0,1.0,2.0,5.0,7.0,6.0,1.0,0.0,4.0,15.0,2.0,7.0,4.0,2.0,2.0,0.0,0.0,6.0,7.0,4.0,5.0,24.0,1.0,0.0,6.0,5.0,18.0,0.0,2.0,38.0,0.0,2.0,2.0,8.0,4.0,0.0,3.0,4.0,3.0,8.0,24.0,19.0,0.0,1.0,6.0,2.0,6.0,1.0,7.0,0.0,0.0,13.0,2.0,3.0,0.0,3.0,1.0,3.0,0.0,2.0,3.0,8.0,2.0,6.0,20.0,4.0,10.0,3.0,1.0,20.0,4.0,7.0,7.0,10.0,5.0,11.0,3.0,2.0,3.0,9.0,12.0,6.0,0.0,2.0,0.0,12.0,18.0,2.0,1.0,0.0,4.0,3.0,0.0,6.0,10.0,1.0,2.0,1.0,9.0,0.0,0.0,1.0,7.0,3.0,1.0,0.0,7.0,1.0,8.0,1.0,3.0,4.0,1.0,3.0,2.0,0.0,2.0,0.0,6.0,1.0,0.0,2.0,36.0,3.0,10.0,1.0,1.0,1.0,7.0,13.0,1
2,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,5.0,2.0,0.0,0.0,1.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,4.0,1.0,3.0,4.0,2.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1
3,4.0,3.0,22.0,37.0,1.0,0.0,4.0,0.0,34.0,12.0,0.0,22.0,21.0,33.0,2.0,2.0,33.0,47.0,3.0,5.0,31.0,36.0,10.0,10.0,25.0,31.0,18.0,0.0,47.0,33.0,24.0,25.0,26.0,36.0,24.0,0.0,3.0,16.0,27.0,12.0,51.0,22.0,7.0,2.0,10.0,3.0,4.0,0.0,29.0,29.0,0.0,17.0,6.0,25.0,7.0,0.0,21.0,14.0,24.0,11.0,28.0,24.0,28.0,17.0,7.0,7.0,19.0,2.0,4.0,2.0,3.0,16.0,22.0,5.0,1.0,19.0,2.0,43.0,5.0,12.0,56.0,60.0,58.0,16.0,21.0,15.0,54.0,12.0,28.0,15.0,10.0,10.0,46.0,14.0,17.0,18.0,19.0,22.0,32.0,43.0,107.0,11.0,32.0,16.0,8.0,15.0,19.0,4.0,50.0,0.0,15.0,35.0,1.0,29.0,11.0,0.0,10.0,21.0,37.0,0.0,4.0,29.0,15.0,33.0,28.0,1.0,9.0,22.0,19.0,7.0,16.0,36.0,14.0,6.0,0.0,0.0,27.0,9.0,16.0,32.0,5.0,15.0,26.0,11.0,46.0,74.0,8.0,8.0,13.0,7.0,1
4,0.0,5.0,27.0,23.0,1.0,0.0,10.0,3.0,73.0,2.0,0.0,47.0,51.0,53.0,1.0,5.0,21.0,115.0,5.0,5.0,1.0,72.0,11.0,12.0,10.0,51.0,41.0,0.0,79.0,22.0,66.0,21.0,2.0,17.0,52.0,2.0,1.0,4.0,40.0,35.0,109.0,4.0,7.0,0.0,32.0,7.0,8.0,0.0,50.0,6.0,2.0,46.0,28.0,5.0,2.0,0.0,60.0,24.0,47.0,18.0,1.0,7.0,92.0,55.0,31.0,7.0,12.0,2.0,8.0,0.0,6.0,45.0,83.0,4.0,3.0,35.0,3.0,99.0,8.0,14.0,84.0,115.0,90.0,36.0,11.0,40.0,53.0,11.0,37.0,6.0,21.0,5.0,92.0,39.0,32.0,5.0,56.0,30.0,46.0,73.0,4.0,17.0,85.0,62.0,16.0,32.0,2.0,7.0,34.0,2.0,54.0,101.0,0.0,16.0,25.0,7.0,12.0,25.0,22.0,2.0,2.0,70.0,18.0,37.0,91.0,0.0,20.0,22.0,35.0,10.0,48.0,61.0,8.0,26.0,2.0,1.0,45.0,9.0,36.0,47.0,4.0,34.0,2.0,13.0,66.0,68.0,24.0,51.0,13.0,10.0,1
5,5.0,14.0,23.0,38.0,2.0,0.0,6.0,1.0,106.0,17.0,0.0,16.0,54.0,116.0,2.0,4.0,41.0,131.0,2.0,12.0,7.0,79.0,13.0,11.0,22.0,123.0,22.0,0.0,68.0,41.0,30.0,13.0,31.0,19.0,36.0,1.0,3.0,11.0,57.0,24.0,39.0,23.0,8.0,0.0,21.0,10.0,5.0,1.0,78.0,31.0,5.0,24.0,8.0,12.0,11.0,0.0,18.0,25.0,36.0,16.0,26.0,24.0,78.0,30.0,11.0,6.0,14.0,2.0,7.0,5.0,6.0,70.0,123.0,4.0,3.0,45.0,0.0,119.0,11.0,10.0,137.0,154.0,170.0,29.0,34.0,19.0,36.0,12.0,23.0,23.0,15.0,15.0,167.0,26.0,26.0,23.0,34.0,23.0,102.0,99.0,52.0,9.0,110.0,55.0,8.0,34.0,18.0,4.0,59.0,0.0,13.0,58.0,0.0,11.0,31.0,3.0,8.0,11.0,20.0,1.0,10.0,28.0,13.0,21.0,117.0,3.0,18.0,26.0,20.0,11.0,15.0,79.0,22.0,19.0,1.0,3.0,82.0,12.0,21.0,29.0,2.0,39.0,27.0,9.0,88.0,57.0,10.0,25.0,13.0,13.0,1
6,91.0,0.0,17.0,32.0,33.0,0.0,0.0,102.0,14.0,16.0,0.0,24.0,13.0,5.0,0.0,2.0,20.0,1.0,3.0,6.0,38.0,5.0,5.0,6.0,15.0,4.0,11.0,1.0,1.0,8.0,7.0,21.0,31.0,15.0,11.0,0.0,2.0,44.0,10.0,10.0,3.0,2.0,16.0,0.0,0.0,6.0,5.0,0.0,5.0,7.0,2.0,7.0,1.0,17.0,11.0,0.0,6.0,11.0,6.0,2.0,0.0,11.0,3.0,4.0,6.0,22.0,20.0,0.0,4.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,46.0,3.0,3.0,12.0,2.0,3.0,0.0,4.0,12.0,9.0,9.0,20.0,12.0,4.0,9.0,34.0,4.0,1.0,15.0,12.0,11.0,20.0,18.0,4.0,40.0,8.0,1.0,11.0,0.0,10.0,0.0,0.0,6.0,1.0,12.0,5.0,0.0,29.0,7.0,23.0,4.0,12.0,9.0,1.0,78.0,17.0,6.0,18.0,2.0,0.0,5.0,28.0,5.0,3.0,7.0,1.0,27.0,4.0,9.0,0.0,3.0,1.0,18.0,10.0,1.0,10.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,1
7,38.0,0.0,19.0,9.0,9.0,0.0,0.0,6.0,12.0,4.0,1.0,18.0,15.0,3.0,0.0,2.0,13.0,0.0,3.0,3.0,37.0,0.0,3.0,10.0,6.0,1.0,4.0,0.0,2.0,8.0,2.0,23.0,17.0,40.0,20.0,0.0,2.0,20.0,14.0,7.0,3.0,3.0,27.0,0.0,0.0,0.0,10.0,0.0,6.0,3.0,4.0,0.0,0.0,18.0,31.0,0.0,8.0,8.0,13.0,5.0,2.0,5.0,5.0,2.0,6.0,6.0,19.0,0.0,9.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,13.0,3.0,1.0,12.0,2.0,6.0,2.0,3.0,8.0,9.0,10.0,11.0,12.0,0.0,1.0,57.0,1.0,5.0,1.0,9.0,14.0,11.0,11.0,3.0,13.0,11.0,3.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,17.0,1.0,0.0,12.0,7.0,15.0,0.0,15.0,4.0,1.0,11.0,9.0,10.0,17.0,2.0,1.0,2.0,18.0,6.0,3.0,8.0,2.0,15.0,1.0,0.0,0.0,1.0,0.0,9.0,5.0,6.0,12.0,0.0,1.0,4.0,1.0,1.0,2.0,2.0,7.0,1
8,3.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,6.0,0.0,0.0,1.0,3.0,5.0,1.0,1.0,2.0,0.0,1.0,5.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,1.0,4.0,3.0,2.0,4.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,2.0,2.0,0.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,2.0,0.0,4.0,2.0,3.0,4.0,1.0,4.0,0.0,2.0,3.0,6.0,3.0,2.0,5.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,4.0,2.0,3.0,3.0,6.0,5.0,4.0,2.0,0.0,0.0,1.0,1.0,2.0,7.0,0.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,0.0,1
9,0.0,1.0,6.0,6.0,1.0,0.0,0.0,2.0,4.0,5.0,0.0,14.0,5.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0,3.0,0.0,4.0,11.0,6.0,5.0,10.0,19.0,3.0,1.0,0.0,2.0,2.0,8.0,5.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,7.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,8.0,4.0,10.0,4.0,1.0,3.0,0.0,1.0,8.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,0.0,11.0,2.0,2.0,3.0,2.0,0.0,12.0,5.0,4.0,6.0,0.0,1.0,7.0,3.0,3.0,3.0,4.0,7.0,13.0,3.0,1.0,1.0,14.0,0.0,4.0,0.0,3.0,2.0,0.0,2.0,0.0,6.0,4.0,0.0,7.0,1.0,1.0,2.0,11.0,4.0,0.0,0.0,9.0,8.0,10.0,3.0,1.0,4.0,13.0,2.0,1.0,7.0,4.0,13.0,0.0,0.0,0.0,1.0,0.0,7.0,11.0,1.0,9.0,0.0,1.0,2.0,4.0,3.0,0.0,3.0,1.0,1
